adm_cd,gu,dong,x,n,long,lat
1113075,서대문구,신촌동,4,23759,126.9410629,37.56363566
1113076,서대문구,연희동,4,37734,126.9327348,37.57200573
1114059,마포구,용강동,0,22038,126.9412701,37.54058865
1114060,마포구,대흥동,2,15848,126.9414005,37.55212202
1114061,마포구,염리동,1,17657,126.9475469,37.549825
1114063,마포구,신수동,0,22834,126.9336424,37.54362572
1114066,마포구,서교동,2,26549,126.9209445,37.55477194
1114068,마포구,합정동,1,17649,126.9088402,37.54687172
1114069,마포구,망원1동,2,20351,126.9002062,37.55275257
1114070,마포구,망원2동,4,18764,126.8956802,37.55712018
1114071,마포구,연남동,2,15899,126.9215449,37.56302992
1114072,마포구,성산1동,0,19246,126.9118453,37.56198238
1114073,마포구,성산2동,1,39909,126.9020429,37.56810577
1114074,마포구,상암동,3,31473,126.8808606,37.57179302
1114075,마포구,도화동,1,21391,126.9468072,37.53703989
1114076,마포구,서강동,2,25600,126.9251579,37.54594625
1114077,마포구,공덕동,1,37792,126.9577856,37.54911941
1114078,마포구,아현동,2,25686,126.9528414,37.55192606
1115051,양천구,목1동,0,30883,126.8750988,37.52744429
1115052,양천구,목2동,0,30139,126.8740985,37.54359372
1115053,양천구,목3동,1,21977,126.8654123,37.5452004
1115054,양천구,목4동,1,25544,126.8668959,37.53543666
1115057,양천구,신월1동,6,20693,126.8345321,37.5312656
1115058,양천구,신월2동,1,20819,126.8463303,37.52339747
1115059,양천구,신월3동,0,15372,126.8274672,37.53236069
1115060,양천구,신월4동,1,18012,126.8398207,37.52224911
1115061,양천구,신월5동,1,14750,126.8298984,37.54004485
1115062,양천구,신월6동,1,13945,126.84213,37.51597382
1115063,양천구,신월7동,2,19917,126.8323374,37.52066289
1115064,양천구,신정1동,2,20487,126.8596345,37.51887731
1115065,양천구,신정2동,0,19596,126.8751771,37.51895289
1115066,양천구,신정3동,3,49979,126.839397,37.51178227
1115069,양천구,신정6동,0,24552,126.8696437,37.51591081
1115070,양천구,신정7동,0,29171,126.8646833,37.51011626
1115071,양천구,목5동,0,41308,126.8810274,37.5363113
1115072,양천구,신정4동,2,33343,126.8575706,37.52540925
1116051,강서구,염창동,0,41764,126.8754313,37.55321167
1116052,강서구,등촌1동,2,24436,126.8596333,37.55585624
1116053,강서구,등촌2동,0,20423,126.8600253,37.54573555
1116054,강서구,등촌3동,1,30714,126.8463387,37.56105481
